[dotenv@17.2.3] injecting env (21) from .env.local -- tip: 🔐 prevent building .env in docker: https://dotenvx.com/prebuild
catalogue: 990 active | already done: 3 | to tag now: 987
  10 tagged (0 failed) | 5.4/min | ~181 min left
  20 tagged (0 failed) | 4.5/min | ~214 min left
  30 tagged (0 failed) | 5.3/min | ~179 min left
  40 tagged (0 failed) | 5.6/min | ~169 min left
  50 tagged (0 failed) | 6.1/min | ~153 min left
  60 tagged (0 failed) | 6.1/min | ~151 min left
  70 tagged (0 failed) | 6.1/min | ~151 min left
  80 tagged (0 failed) | 6.3/min | ~144 min left
  90 tagged (0 failed) | 6.7/min | ~134 min left
  100 tagged (0 failed) | 6.8/min | ~130 min left
  110 tagged (1 failed) | 7.0/min | ~124 min left
  120 tagged (1 failed) | 7.3/min | ~118 min left
  130 tagged (1 failed) | 7.6/min | ~113 min left
  140 tagged (1 failed) | 7.9/min | ~107 min left
  150 tagged (1 failed) | 8.1/min | ~104 min left
  160 tagged (1 failed) | 8.3/min | ~100 min left
  170 tagged (1 failed) | 8.5/min | ~96 min left
  180 tagged (1 failed) | 8.6/min | ~94 min left
  190 tagged (1 failed) | 8.7/min | ~92 min left
  200 tagged (1 failed) | 8.8/min | ~90 min left
  210 tagged (1 failed) | 8.9/min | ~88 min left
  220 tagged (1 failed) | 9.0/min | ~85 min left
  230 tagged (1 failed) | 9.1/min | ~83 min left
  240 tagged (1 failed) | 9.2/min | ~81 min left
  250 tagged (1 failed) | 9.2/min | ~80 min left
  260 tagged (1 failed) | 9.3/min | ~78 min left
  270 tagged (1 failed) | 9.0/min | ~80 min left
  280 tagged (1 failed) | 9.1/min | ~78 min left
  290 tagged (1 failed) | 9.0/min | ~77 min left
  300 tagged (1 failed) | 9.1/min | ~76 min left
  310 tagged (1 failed) | 9.2/min | ~74 min left
  320 tagged (1 failed) | 9.3/min | ~72 min left
  330 tagged (1 failed) | 9.3/min | ~70 min left
  340 tagged (1 failed) | 9.4/min | ~69 min left
  350 tagged (1 failed) | 9.5/min | ~67 min left
  360 tagged (1 failed) | 9.5/min | ~66 min left
  370 tagged (1 failed) | 9.6/min | ~65 min left
  380 tagged (1 failed) | 9.6/min | ~63 min left
  390 tagged (1 failed) | 9.6/min | ~62 min left
  400 tagged (1 failed) | 9.7/min | ~61 min left
  410 tagged (1 failed) | 9.7/min | ~59 min left
  420 tagged (1 failed) | 9.7/min | ~58 min left
  430 tagged (1 failed) | 9.7/min | ~58 min left
  440 tagged (1 failed) | 9.8/min | ~56 min left
  450 tagged (1 failed) | 9.8/min | ~55 min left
  460 tagged (1 failed) | 9.8/min | ~54 min left
  470 tagged (1 failed) | 9.8/min | ~53 min left
  480 tagged (1 failed) | 9.9/min | ~51 min left
  490 tagged (2 failed) | 9.3/min | ~53 min left
  500 tagged (42 failed) | 0.8/min | ~639 min left
  510 tagged (44 failed) | 0.8/min | ~625 min left
  520 tagged (45 failed) | 0.7/min | ~630 min left
  530 tagged (45 failed) | 0.8/min | ~609 min left
  540 tagged (45 failed) | 0.8/min | ~587 min left
  550 tagged (45 failed) | 0.8/min | ~566 min left
  560 tagged (45 failed) | 0.8/min | ~547 min left
  570 tagged (45 failed) | 0.8/min | ~526 min left
  580 tagged (45 failed) | 0.8/min | ~506 min left
  590 tagged (45 failed) | 0.8/min | ~489 min left
  600 tagged (45 failed) | 0.8/min | ~470 min left
  610 tagged (45 failed) | 0.8/min | ~452 min left
  620 tagged (45 failed) | 0.8/min | ~435 min left
  630 tagged (45 failed) | 0.9/min | ~418 min left
  640 tagged (45 failed) | 0.9/min | ~401 min left
  650 tagged (46 failed) | 0.9/min | ~384 min left
  660 tagged (46 failed) | 0.9/min | ~367 min left
  670 tagged (46 failed) | 0.9/min | ~351 min left
  680 tagged (46 failed) | 0.9/min | ~336 min left
  690 tagged (46 failed) | 0.9/min | ~322 min left
  700 tagged (46 failed) | 0.9/min | ~307 min left
  710 tagged (46 failed) | 0.9/min | ~293 min left
  720 tagged (46 failed) | 1.0/min | ~278 min left
  730 tagged (46 failed) | 1.0/min | ~265 min left
  740 tagged (46 failed) | 1.0/min | ~251 min left
  750 tagged (46 failed) | 1.0/min | ~239 min left
  760 tagged (46 failed) | 1.0/min | ~226 min left
  770 tagged (46 failed) | 1.0/min | ~214 min left
  780 tagged (46 failed) | 1.0/min | ~201 min left
  790 tagged (46 failed) | 1.0/min | ~189 min left
  800 tagged (46 failed) | 1.1/min | ~178 min left
  810 tagged (46 failed) | 1.1/min | ~167 min left
  820 tagged (46 failed) | 1.1/min | ~156 min left
  830 tagged (46 failed) | 1.1/min | ~146 min left
  840 tagged (46 failed) | 1.1/min | ~135 min left
  850 tagged (46 failed) | 1.1/min | ~125 min left
  860 tagged (46 failed) | 1.1/min | ~115 min left
  870 tagged (46 failed) | 1.1/min | ~105 min left
  880 tagged (46 failed) | 1.1/min | ~95 min left
  890 tagged (46 failed) | 1.1/min | ~86 min left
  900 tagged (46 failed) | 1.1/min | ~76 min left
  910 tagged (46 failed) | 1.2/min | ~67 min left
  920 tagged (46 failed) | 1.2/min | ~58 min left
  930 tagged (46 failed) | 1.2/min | ~49 min left
  940 tagged (46 failed) | 1.2/min | ~40 min left
FINISHED: 941 tagged, 46 failed, 944 total in index
